temp,external_field,n_particles_1d,n_particles,n_sweeps,beta,J,tau,block_size,mean_absolute_spin,std_mean_absolute_spin,energy_per_spin,std_energy_per_spin,magnetic_susceptibility_per_spin,std_magnetic_susceptibility_per_spin,specific_heat_per_spin,std_specific_heat_per_spin,mean_vortex_density,std_vortex_density,mean_n_vortices,std_n_vortices,mean_n_antivortices,std_n_antivortices,thermalization_cut,n_samples_after_thermalization,source_file
0.5,0,10,100,10000,2.0,1,15.099410179344392,241,0.8848034243384335,0.0013980618738231232,-1.731880774702142,0.0021796140049386995,0.11276397741981477,0.051908010530486735,0.581039359660833,0.11628868927675662,2.074688796680498e-06,1.312148406708871e-05,0.0001037344398340249,0.0006560742033544356,0.0001037344398340249,0.0006560742033544356,148,9852,data/T_0.50_N_010_data.npz
0.5,0,20,400,10000,2.0,1,94.7662138010655,1516,0.8557111342052642,0.004529312641748182,-1.729630142374758,0.0028039298476453213,0.7878703732012146,1.2625696033493456,0.6409648760994947,0.14485052819831964,5.9366754617414245e-05,0.00010731928469665816,0.01187335092348285,0.021463856939331633,0.01187335092348285,0.021463856939331633,266,9734,data/T_0.50_N_020_data.npz
0.5,0,50,2500,100000,2.0,1,1594.3668409191305,25509,0.8120105748757135,0.009110399843513552,-1.7290841395670546,0.0014625019501769646,15.04717155131197,21.92051545569821,0.6803083601110292,0.1539546540737231,6.633998458060555e-05,9.179136327652105e-05,0.08292498072575692,0.11473920409565129,0.08292498072575692,0.11473920409565129,245,99755,data/T_0.50_N_050_data.npz
0.6,0,10,100,10000,1.6666666666666667,1,14.808653257013754,236,0.8606149043534375,0.001668405030782014,-1.673429479755893,0.002593490720918939,0.1400117796400239,0.057854263479764245,0.5913675089192013,0.1492741883144606,0.00012195121951219512,0.00014437750917817548,0.006097560975609756,0.0072188754589087726,0.006097560975609756,0.0072188754589087726,156,9844,data/T_0.60_N_010_data.npz
0.6,0,20,400,10000,1.6666666666666667,1,69.75868100930444,1116,0.8240550232906824,0.003480580869178515,-1.667517670170535,0.002880921781347761,0.49683127829787876,0.18785529364615006,0.6373893011334855,0.07919999229321974,0.00019153225806451614,5.6557678785374684e-05,0.038306451612903226,0.011311535757074937,0.038306451612903226,0.011311535757074937,227,9773,data/T_0.60_N_020_data.npz
0.6,0,50,2500,100000,1.6666666666666667,1,1505.4065757350293,24086,0.7644371225740997,0.017001242097630136,-1.6670463570368061,0.001863243266044452,38.040143140144885,70.88033668223675,0.7870377986048949,0.32138630723762407,0.00022844806111434028,0.00015081918784398286,0.28556007639292535,0.18852398480497856,0.28556007639292535,0.18852398480497856,212,99788,data/T_0.60_N_050_data.npz
0.7,0,10,100,5000,1.4285714285714286,1,22.87884007196998,366,0.8313794095204435,0.0037800293898886715,-1.6105294911301316,0.005705550143469988,0.19502665018864282,0.06687100598120459,0.6774968055641976,0.0928410018497114,0.0006137032366540563,0.00029014442059412105,0.030685161832702815,0.01450722102970605,0.030685161832702815,0.01450722102970605,193,4807,data/T_0.70_N_010_data.npz
0.7,0,20,400,5000,1.4285714285714286,1,129.4881484381508,2071,0.7659683675793162,0.02067673576541468,-1.598383538990065,0.0076448158160632015,4.854814941822017,5.9624794943903625,0.910054272343056,0.19733536784239344,0.001345968131337518,0.0006162857267222203,0.26919362626750365,0.12325714534444407,0.26919362626750365,0.12325714534444407,134,4866,data/T_0.70_N_020_data.npz
0.7,0,50,2500,100000,1.4285714285714286,1,1280.7821305634404,20492,0.7295759202319297,0.009575388283886183,-1.6008633507306997,0.0019441079642034894,13.267796084343702,20.600462418662474,0.7506535405384863,0.09347630484084836,0.0008964571540113216,9.752075653599425e-05,1.1205714425141517,0.12190094566999278,1.1205714425141517,0.12190094566999278,244,99756,data/T_0.70_N_050_data.npz
0.8,0,10,100,5000,1.25,1,9.094060313602025,145,0.8023281943465055,0.0024304811996579798,-1.536376268476076,0.004120123412306562,0.17600468544781506,0.07489066512874057,0.6560479208418589,0.14053779382640602,0.0026833855799373043,0.0013067513835719451,0.13416927899686518,0.06533756917859726,0.13416927899686518,0.06533756917859726,181,4819,data/T_0.80_N_010_data.npz
