temp,external_field,n_particles_1d,n_particles,n_sweeps,beta,J,tau,block_size,mean_absolute_spin,std_mean_absolute_spin,energy_per_spin,std_energy_per_spin,magnetic_susceptibility_per_spin,std_magnetic_susceptibility_per_spin,specific_heat_per_spin,std_specific_heat_per_spin,mean_vortex_density,std_vortex_density,mean_n_vortices,std_n_vortices,mean_n_antivortices,std_n_antivortices,thermalization_cut,n_samples_after_thermalization,source_file
0.5,0,20,400,10000,2.0,1,94.7662138010655,1516,0.8557111342052642,0.004529312641748182,-1.729630142374758,0.0028039298476453213,0.7878703732012146,1.2625696033493456,0.6409648760994947,0.14485052819831964,5.9366754617414245e-05,0.00010731928469665816,0.01187335092348285,0.021463856939331633,0.01187335092348285,0.021463856939331633,266,9734,data_with_field/T_0.50_N_020_h_0.00_data.npz
0.5,0.25,20,400,10000,2.0,1,19.30287524978427,308,0.9007733336882076,0.0006388820215304801,-1.9826999983196152,0.0012080150138270246,0.0720247971198069,0.022253891376830166,0.5586227386868816,0.11686775244741099,2.536525974025974e-06,7.270930442271607e-06,0.0005073051948051948,0.0014541860884543214,0.0005073051948051948,0.0014541860884543214,138,9862,data_with_field/T_0.50_N_020_h_0.25_data.npz
0.5,0.5,20,400,10000,2.0,1,14.80463898017819,236,0.9161780914590244,0.00042672766867948923,-2.23515219589169,0.0010132950741169279,0.042483168293603796,0.013791281670452073,0.5104776494783336,0.11385421841346326,5.167424555601488e-07,3.308766141707755e-06,0.00010334849111202976,0.0006617532283415511,0.00010334849111202976,0.0006617532283415511,141,9859,data_with_field/T_0.50_N_020_h_0.50_data.npz
0.5,1,20,400,10000,2.0,1,7.420539759590904,118,0.9333362329873051,0.00021196698104952114,-2.7376811585950707,0.0007076156827428794,0.02123389336187412,0.0077637898766933925,0.4810711585277845,0.14816078435405508,0.0,0.0,0.0,0.0,0.0,0.0,143,9857,data_with_field/T_0.50_N_020_h_1.00_data.npz
0.5,2,20,400,10000,2.0,1,7.133771637731279,114,0.9503728412566411,0.00014226132527507846,-3.7420885697460786,0.0006818310807244061,0.009973020613221405,0.004184087704990332,0.46536527336775185,0.1774703231811688,0.0,0.0,0.0,0.0,0.0,0.0,143,9857,data_with_field/T_0.50_N_020_h_2.00_data.npz
0.6,0,20,400,10000,1.6666666666666667,1,69.75868100930444,1116,0.8240550232906824,0.003480580869178515,-1.667517670170535,0.002880921781347761,0.49683127829787876,0.18785529364615006,0.6373893011334855,0.07919999229321974,0.00019153225806451614,5.6557678785374684e-05,0.038306451612903226,0.011311535757074937,0.038306451612903226,0.011311535757074937,227,9773,data_with_field/T_0.60_N_020_h_0.00_data.npz
0.6,0.25,20,400,10000,1.6666666666666667,1,13.233227937477448,211,0.8785469320644321,0.0006235966436325005,-1.9215100972488965,0.0011861632319325364,0.08512848433933358,0.0254703442224823,0.552533101989949,0.11545641444021928,2.88481351741191e-05,4.5213988675926103e-05,0.0057696270348238194,0.009042797735185223,0.0057696270348238194,0.009042797735185223,204,9796,data_with_field/T_0.60_N_020_h_0.25_data.npz
0.6,0.5,20,400,10000,1.6666666666666667,1,10.309674505596128,164,0.8976746458961774,0.00040303245127134397,-2.1751932964048986,0.001017067552505434,0.04694513363242479,0.016022003507878153,0.5115153105420777,0.1365227644966137,1.2703252032520325e-05,4.2856666223094675e-05,0.0025406504065040654,0.008571333244618935,0.0025406504065040654,0.008571333244618935,138,9862,data_with_field/T_0.60_N_020_h_0.50_data.npz
0.6,1,20,400,10000,1.6666666666666667,1,8.13217129319565,130,0.9185785387913077,0.00026345027809690497,-2.680694113042476,0.0008933797330260042,0.025203679211610694,0.00826315499255583,0.4951465350288995,0.13927497846431663,0.0,0.0,0.0,0.0,0.0,0.0,129,9871,data_with_field/T_0.60_N_020_h_1.00_data.npz
0.6,2,20,400,10000,1.6666666666666667,1,7.328061274894139,117,0.9395877884124717,0.00017697841471125207,-3.6860826789726424,0.0008346715609522744,0.012450841497680776,0.003913963771132191,0.46636310654785096,0.13078336914156066,0.0,0.0,0.0,0.0,0.0,0.0,146,9854,data_with_field/T_0.60_N_020_h_2.00_data.npz
