temp,external_field,n_particles_1d,n_particles,n_sweeps,beta,J,tau,block_size,mean_absolute_spin,std_mean_absolute_spin,energy_per_spin,std_energy_per_spin,magnetic_susceptibility_per_spin,std_magnetic_susceptibility_per_spin,specific_heat_per_spin,std_specific_heat_per_spin,mean_vortex_density,std_vortex_density,mean_n_vortices,std_n_vortices,mean_n_antivortices,std_n_antivortices,source_file
0.5,0,10,100,10000,2.0,1,29.734313823716885,475,0.7000638936043395,0.031438802422562105,-0.7365494337728178,0.011537749908355406,1.5984881545567202,1.6384017427446214,1.1457227062328361,0.3898768346979223,0.018229573934837092,0.004597067135667601,0.9114786967418547,0.22985335678338004,0.9114786967418547,0.22985335678338004,data/T_0.50_N_010_data.npz
0.5,0,20,400,10000,2.0,1,57.69819266191996,923,0.5964791519847987,0.02903946712459302,-0.6603028228470939,0.004381077342305449,6.3925120458714115,4.8393984150518135,1.3711206000570875,0.5805903898702576,0.022992416034669557,0.0016408020584061207,4.598483206933911,0.32816041168122395,4.598483206933911,0.32816041168122395,data/T_0.50_N_020_data.npz
0.6,0,10,100,10000,1.6666666666666667,1,26.59845656352966,425,0.4937245482004808,0.05637605994821557,-0.5147744173494517,0.017935653545214203,3.559327907625737,1.2264120521457746,1.2857774568034466,0.26099576437959177,0.06775652173913044,0.009179987283630633,3.387826086956521,0.45899936418153164,3.387826086956521,0.45899936418153164,data/T_0.60_N_010_data.npz
0.6,0,20,400,10000,1.6666666666666667,1,65.19033092092506,1043,0.29355086143537457,0.038940208161629526,-0.5511706980236433,0.0068179314460973415,9.93461633650539,2.7909338227686504,1.2423432255291287,0.24833312909009353,0.07398316821135614,0.0034437167734525697,14.796633642271226,0.6887433546905142,14.796633642271226,0.6887433546905142,data/T_0.60_N_020_data.npz
0.6,0,50,2500,10000,1.6666666666666667,1,64.30511676683426,1028,0.12086495278572847,0.018377987850317294,-0.5268193699924004,0.0023737911255466444,13.49684363227897,4.60379974661888,1.3851035339431528,0.6760444508311518,0.07469779507133592,0.0011725203661961377,93.37224383916993,1.4656504577451719,93.37224383916993,1.4656504577451719,data/T_0.60_N_050_data.npz
0.7,0,10,100,5000,1.4285714285714286,1,12.308690135452723,196,0.32067389167172555,0.043535965822888704,-0.3860756463258232,0.015581581074480414,2.482571429233056,0.5024416986316008,0.7868340989598152,0.17340985038306928,0.11713877551020407,0.009186152348742985,5.856938775510202,0.4593076174371492,5.856938775510202,0.4593076174371492,data/T_0.70_N_010_data.npz
0.7,0,20,400,5000,1.4285714285714286,1,18.17451565475815,290,0.16598903889640046,0.027019371695761733,-0.4587503880963219,0.005054541161477579,3.328055516631561,0.7625467981892335,0.7644181952533916,0.12243456419099946,0.11956389452332657,0.0024563502470812872,23.912778904665316,0.4912700494162566,23.912778904665316,0.4912700494162566,data/T_0.70_N_020_data.npz
0.7,0,50,2500,10000,1.4285714285714286,1,20.741244813320755,331,0.06257597061426463,0.012503826727008487,-0.4248174438741315,0.0021038264010106353,3.591382290208298,1.8590571797997677,0.851682733872082,0.4111880121706945,0.1194000402819738,0.0011358127527356402,149.25005035246724,1.4197659409195567,149.25005035246724,1.4197659409195567,data/T_0.70_N_050_data.npz
0.8999999999999999,0,10,100,5000,1.1111111111111112,1,6.292070867804045,100,0.2085038742436445,0.03347403580379265,-0.3443083564585119,0.014114390375976107,1.0544781589867056,0.3180823311638687,0.3966190618481966,0.08910423166197427,0.17626,0.00888495632963898,8.813,0.4442478164819491,8.813,0.4442478164819491,data/T_0.90_N_010_data.npz
0.8999999999999999,0,20,400,5000,1.1111111111111112,1,7.120938515986048,113,0.1051109741636811,0.018809856560361715,-0.3143226594888317,0.00731224925239467,1.1313261367343175,0.4654343436082336,0.3997462917426244,0.07665096589798943,0.17855088495575222,0.004730747926174611,35.71017699115045,0.9461495852349223,35.71017699115045,0.9461495852349223,data/T_0.90_N_020_data.npz
