file,temp,n_particles_1d,external_field,tau,suggested_block_size,n_samples,problematic
data_with_field/T_0.60_N_020_h_2.00_data.npz,0.6,20,2.0,7.328061274894139,117,9854,False
data_with_field/T_0.70_N_020_h_0.00_data.npz,0.7,20,0.0,129.4881484381508,2071,4866,False
data_with_field/T_0.70_N_020_h_0.25_data.npz,0.7,20,0.25,17.56022092868312,280,4788,False
data_with_field/T_0.70_N_020_h_0.50_data.npz,0.7,20,0.5,20.80696327842721,332,4780,False
data_with_field/T_0.70_N_020_h_1.00_data.npz,0.7,20,1.0,11.632142903407551,186,4822,False
data_with_field/T_0.70_N_020_h_2.00_data.npz,0.7,20,2.0,10.62946853231729,170,4777,False
data_with_field/T_0.80_N_020_h_0.00_data.npz,0.8,20,0.0,50.7293788492251,811,4810,False
data_with_field/T_0.80_N_020_h_0.25_data.npz,0.8,20,0.25,11.873128035375554,189,4846,False
data_with_field/T_0.80_N_020_h_0.50_data.npz,0.8,20,0.5,7.467077054657094,119,4830,False
data_with_field/T_0.80_N_020_h_1.00_data.npz,0.8,20,1.0,7.253619118482955,116,4868,False
data_with_field/T_0.80_N_020_h_2.00_data.npz,0.8,20,2.0,6.511205916861958,104,4863,False
data_with_field/T_0.85_N_020_h_0.00_data.npz,0.85,20,0.0,47.83485965869831,765,4725,False
data_with_field/T_0.85_N_020_h_0.25_data.npz,0.85,20,0.25,11.47112677793827,183,4863,False
data_with_field/T_0.85_N_020_h_0.50_data.npz,0.85,20,0.5,7.251439946948652,116,4829,False
data_with_field/T_0.85_N_020_h_1.00_data.npz,0.85,20,1.0,6.44415366094075,103,4869,False
data_with_field/T_0.85_N_020_h_2.00_data.npz,0.85,20,2.0,6.467205971402897,103,4863,False
data_with_field/T_0.88_N_020_h_0.00_data.npz,0.88,20,0.0,35.1063825431015,561,4776,False
data_with_field/T_0.88_N_020_h_0.25_data.npz,0.88,20,0.25,9.256177256623571,148,4830,False
data_with_field/T_0.88_N_020_h_0.50_data.npz,0.88,20,0.5,7.625764261099389,122,4868,False
data_with_field/T_0.88_N_020_h_1.00_data.npz,0.88,20,1.0,6.744621178682766,107,4868,False
data_with_field/T_0.88_N_020_h_2.00_data.npz,0.88,20,2.0,6.091894242196203,97,4863,False
data_with_field/T_0.90_N_020_h_0.00_data.npz,0.9,20,0.0,66.11819094836505,1057,4842,False
data_with_field/T_0.90_N_020_h_0.25_data.npz,0.9,20,0.25,8.809828125625522,140,4858,False
data_with_field/T_0.90_N_020_h_0.50_data.npz,0.9,20,0.5,7.057638783231057,112,4875,False
data_with_field/T_0.90_N_020_h_1.00_data.npz,0.9,20,1.0,7.223824241271284,115,4878,False
data_with_field/T_0.90_N_020_h_2.00_data.npz,0.9,20,2.0,6.0231998557985,96,4878,False
data_with_field/T_0.95_N_020_h_0.00_data.npz,0.95,20,0.0,36.79298970862805,588,4817,False
data_with_field/T_0.95_N_020_h_0.25_data.npz,0.95,20,0.25,10.049839786836863,160,4852,False
data_with_field/T_0.95_N_020_h_0.50_data.npz,0.95,20,0.5,5.867556834256153,93,4876,False
data_with_field/T_0.95_N_020_h_1.00_data.npz,0.95,20,1.0,6.617748342045767,105,4878,False
data_with_field/T_0.95_N_020_h_2.00_data.npz,0.95,20,2.0,6.314011876811288,101,4855,False
data_with_field/T_1.00_N_020_h_0.00_data.npz,1.0,20,0.0,168.6532413111349,2698,4786,False
data_with_field/T_1.00_N_020_h_0.25_data.npz,1.0,20,0.25,10.151125085792705,162,4871,False
data_with_field/T_1.00_N_020_h_0.50_data.npz,1.0,20,0.5,7.3879455547606465,118,4872,False
data_with_field/T_1.00_N_020_h_1.00_data.npz,1.0,20,1.0,5.484835686216548,87,4874,False
data_with_field/T_1.00_N_020_h_2.00_data.npz,1.0,20,2.0,5.545842652219789,88,4885,False
data_with_field/T_1.10_N_020_h_0.00_data.npz,1.0999999999999999,20,0.0,66.98090630061172,1071,4813,False
data_with_field/T_1.10_N_020_h_0.25_data.npz,1.0999999999999999,20,0.25,10.999548291338952,175,4834,False
data_with_field/T_1.10_N_020_h_0.50_data.npz,1.0999999999999999,20,0.5,7.808696700521948,124,4878,False
